master_chemprop_input,IV
C(CCC(=O)O)CC(=O)O.O=C(O)c1cccc(C(=O)O)c1.CC1(C(C(C1O)(C)C)O)C.CCC(CO)(CO)CO.CC(CO)CO|0.1430|0.3570|0.2325|0.0130|0.2545|,0.396
C(CCC(=O)O)CC(=O)O.O=C(O)c1cccc(C(=O)O)c1.CC1(C(C(C1O)(C)C)O)C.CC(CO)CO|0.1455|0.3545|0.2265|0.2735|,0.26
C(CCC(=O)O)CC(=O)O.O=C(O)c1cccc(C(=O)O)c1.CC1(C(C(C1O)(C)C)O)C.CCC(CO)(CO)CO.CC(CO)CO|0.1455|0.3545|0.2270|0.0050|0.2680|,0.29100000000000004
C(CCC(=O)O)CC(=O)O.O=C(O)c1cccc(C(=O)O)c1.CC1(C(C(C1O)(C)C)O)C.CC(CO)CO|0.1455|0.3545|0.2265|0.2735|,0.218
C(CCC(=O)O)CC(=O)O.O=C(O)c1cccc(C(=O)O)c1.CC1(C(C(C1O)(C)C)O)C.CCC(CO)(CO)CO.CC(CO)CO|0.1460|0.3540|0.2280|0.0125|0.2595|,0.41700000000000004
C(CCC(=O)O)CC(=O)O.O=C(O)c1cccc(C(=O)O)c1.CC1(C(C(C1O)(C)C)O)C.CCC(CO)(CO)CO.CC(CO)CO|0.1500|0.3500|0.2250|0.0100|0.2650|,0.444
C(CCC(=O)O)CC(=O)O.O=C(O)c1cccc(C(=O)O)c1.CC1(C(C(C1O)(C)C)O)C.CC(CO)CO|0.1450|0.3550|0.2255|0.2745|,0.436
C(CCC(=O)O)CC(=O)O.O=C(O)c1cccc(C(=O)O)c1.CC1(C(C(C1O)(C)C)O)C.CCC(CO)(CO)CO.CC(CO)CO|0.1455|0.3545|0.2285|0.0050|0.2665|,0.32299999999999995
C(CCC(=O)O)CC(=O)O.O=C(O)c1cccc(C(=O)O)c1.CC1(C(C(C1O)(C)C)O)C.CCC(CO)(CO)CO.CC(CO)CO|0.1452|0.3538|0.2250|0.0055|0.2705|,0.45299999999999996
C(CCC(=O)O)CC(=O)O.O=C(O)c1cccc(C(=O)O)c1.CC1(C(C(C1O)(C)C)O)C.CCC(CO)(CO)CO.CC(CO)CO|0.1455|0.3545|0.2290|0.0035|0.2675|,0.342
OC(=O)CCCCCCCCC(=O)O.O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C.CCC(CO)(CO)CO.CC(CO)CO|0.0785|0.3100|0.1115|0.1400|0.2260|0.0325|0.1015|,0.307
OC(=O)CCCCCCCCC(=O)O.O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C.CCC(CO)(CO)CO.CC(CO)CO|0.0260|0.3375|0.1365|0.1920|0.2255|0.0330|0.0495|,0.35600000000000004
C(CCC(=O)O)CC(=O)O.O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C.CCC(CO)(CO)CO.CC(CO)CO|0.0970|0.3035|0.0995|0.1375|0.2015|0.0355|0.1255|,0.281
OC(=O)CCCCCCCCC(=O)O.O=C(O)c1ccc(C(O)=O)cc1.CCC(CO)(CO)CO.C1C(CC2C1C3CC(C2C3)CO)CO|0.0515|0.4485|0.0330|0.4670|,0.218
OC(=O)CCCCCCCCC(=O)O.O=C(O)c1ccc(C(O)=O)cc1.CCC(CO)(CO)CO.C1C(CC2C1C3CC(C2C3)CO)CO|0.1505|0.3495|0.0305|0.4695|,0.265
OC(=O)CCCCCCCCC(=O)O.O=C(O)c1ccc(C(O)=O)cc1.CCC(CO)(CO)CO.C1C(CC2C1C3CC(C2C3)CO)CO|0.1000|0.4000|0.0290|0.4710|,0.26
OC(=O)CCCCCCCCC(=O)O.O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.C1CC(CC(C1)CO)CO.CCC(CO)(CO)CO|0.0505|0.3285|0.1210|0.2055|0.2640|0.0305|,0.479
OC(=O)CCCCCCCCC(=O)O.O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CC(C1)CO)CO.CCC(CO)(CO)CO|0.0255|0.3380|0.1365|0.4680|0.0320|,0.305
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CC(C1)CO)CO.CCC(CO)(CO)CO|0.3510|0.1490|0.4640|0.0360|,0.442
C(CCC(=O)O)CC(=O)O.O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.CC1(C(C(C1O)(C)C)O)C.CCC(CO)(CO)CO.CC(CO)CO.C1C(CC2C1C3CC(C2C3)CO)CO|0.0235|0.2321|0.2446|0.2501|0.0150|0.0490|0.1856|,0.306
OC(=O)CCCCCCCCC(=O)O.O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.CC(C)(CO)CO.C1CC(CCC1CO)CO|0.0775|0.2590|0.1635|0.3775|0.1225|,0.249
