,Resin#,Reactor,Reaction Solvent,AN,OHN,OHN (primary),OHN (secondary),IV,IV - Intrinsic,Tg,Tg∞ (°C),Cyclic Oligomer (%),Mn (PS),Mw (PS),Mz (PS),PDI (PS),Mn (abs),Mw (abs),Mz (abs),PDI (abs),%SA,%ADP,%DDDA,%AZL,"%1,4-CHDA","%1,4-CHDA (95% trans)","%1,3-CHDA","%1,2-CHDA",%HHPA,%PA,%IPA,%TPA,%TMA,%Total Acid,%EG,%DEG,"%1,3-PROP","%1,4-BUT",%HDO,%NPG,"%1,4-CHDM","%1,3-CHDM",%TMCD,%TMP,%MPD,%TCDDM,%Total Glycol,End,uncertainty,abs_error
166,186,Rig,Neat,1.48,16.93194574,,,0.608,0.634,,,,,,,,,,,,,,,,,,,,,,81.0,19.0,,100.0,,,,,,,57.6,,42.2,,,,100.0,,0.021423308178782463,0.33321765065193176
75,79,Kettle,A150ND,0.69,27.0,12,14,0.231,0.235,32.26,,,7958.0,20109.0,37887.0,2.5269999999999997,,,,,,28.5,,,,,,,,,71.5,,,100.0,,,,,,,,,46.1,1.1,52.8,,100.0,,0.021771976724267006,0.037691354751586914
76,80,Kettle,A150ND,0.83,31.0,14,17,0.24600000000000002,0.25,33.26,,,8429.0,23976.0,50179.0,2.844,,,,,,29.0,,,,,,,,,71.0,,,100.0,,,,,,,,,45.9,2.5,51.6,,100.0,,0.024963747709989548,0.02867986261844635
220,Resin 5d,Rig,Neat,5.5,13.8,,,0.757,0.7979999999999999,58.74,,,13773.0,202810.0,1300172.0,14.725,7335.0,53303.0,246445.0,7.267,,,,,,,,,,,86.5,13.5,,100.0,,,,,,,38.9,,,4.0,57.1,,100.0,,0.02546525001525879,0.14373451471328735
290,C58,,,,,,,0.8,,-60.0,-60.0,1.92,16267.0,55003.0,96627.0,3.3810000000000002,,,,,,100.0,,,,,,,,,,,,100.0,,,,,100.0,,,,,,,,100.0,,0.026408102363348007,0.14551007747650146
200,247,Rig,Neat,0.8,9.4,,,0.251,0.255,-43.66,,,12298.0,35064.0,55339.0,2.8510000000000004,,,,,100.0,,,,,,,,,,,,,100.0,,,,,,,100.0,,,,,,100.0,,0.026450835168361664,0.2600594758987427
289,C57,,,,,,,0.789,,-59.0,-59.0,0.52,15715.0,56039.0,101794.0,3.5660000000000003,,,,,,100.0,,,,,,,,,,,,100.0,,,,100.0,,,,,,,,,100.0,,0.027326496317982674,0.07922160625457764
170,194,Rig,Neat,1.23,16.06347317,,,0.298,0.304,,,,,,,,,,,,,,,,,,,,,,84.9,15.1,,100.0,,,,,,,58.8,,41.1,,,,0.0,,0.02734629064798355,0.019596397876739502
218,Resin 5b,Rig,Neat,4.0,17.6,,,0.594,0.619,57.11,,,13298.0,124138.0,654639.0,9.335,6969.0,35992.0,136598.0,5.165,,,,,,,,,,,88.0,12.0,,100.0,,,,,,,38.6,,,4.0,57.4,,100.0,,0.027480440214276314,0.09310078620910645
110,130,Kettle,A150ND,2.8,46.0,14,32,0.368,0.377,61.14,,,8847.0,58632.0,258461.0,6.627000000000001,4812.0,19348.0,62048.0,4.021,10.0,,,,,,,,,,65.0,25.0,,100.0,,,,,,,27.7,,45.3,6.7,20.2,,99.9,,0.027577796950936317,0.06900656223297119
253,C21,,,,,,,0.096,,-5.0,17.0,2.07,2132.0,4397.0,7172.0,2.062,,,,,,,,,,,,,,100.0,,,,100.0,,,,100.0,,,,,,,,,100.0,,0.027654847130179405,0.1114865392446518
271,C39,,,,,,,0.93,,-12.0,-11.0,1.37,17949.0,88424.0,163180.0,4.926,,,,,,,,,,,100.0,,,,,,,100.0,,,,100.0,,,,,,,,,100.0,,0.027768421918153763,0.09219664335250854
56,60,Kettle,A150ND,3.6,11.0,3,8,0.485,0.501,96.36,,,14481.0,71388.0,219671.0,4.93,,,,,,,,,,,,,,,85.5,14.5,,100.0,,,,,,,47.8,,45.2,2.2,4.8,,100.1,,0.028249287977814674,0.0072335004806518555
264,C32,,,,,,,0.643,,17.0,18.0,0.49,24928.0,65814.0,112367.0,2.64,,,,,,,,,100.0,,,,,,,,,100.0,,,,,,100.0,,,,,,,100.0,,0.028753722086548805,0.009458482265472412
93,97,Kettle,A150ND,3.4,42.0,10,32,0.35600000000000004,0.365,80.2,,,9964.0,81311.0,309581.0,8.16,,,,,5.2,,,,,,,,,,67.5,27.3,,100.0,,,,,,,38.4,,45.1,6.6,9.9,,100.0,,0.029413485899567604,0.021609336137771606
138,158,Rig,Neat,4.2,4.331859907,,,0.475,0.491,,,,,,,,,,,,,,,,,,,,,,84.4,15.6,,100.0,,,,,,,61.0,,38.7,,,,99.8,,0.03109069913625717,0.028349488973617554
45,49,Kettle,A150ND,3.7,2.0,1,1,0.628,0.655,89.7,,,17751.0,38228.0,57542.0,2.154,8421.0,14564.0,,,,,,,,,,,,,71.0,29.0,,100.0,,,,,10.0,,45.0,,22.8,,,22.5,100.0,,0.031091468408703804,0.046665072441101074
162,182,Rig,Neat,1.48,10.95269937,,,0.17600000000000002,0.17800000000000002,,,,,,,,,,,,,,,,,,,,,,84.6,15.4,,100.0,,,,,,,58.2,,41.8,,,,99.8,,0.033256322145462036,0.18676131963729858
47,51,Kettle,A150ND,3.5,5.0,,,0.44,0.45299999999999996,100.5,,,18758.0,40533.0,,2.161,11125.0,21884.0,,1.9669999999999999,,,,,,,,,,,70.0,30.0,,100.0,,,,,,,45.3,,44.4,,10.3,,100.0,,0.03363066539168358,0.04594379663467407
294,C62,,,,,,,0.35700000000000004,,-8.0,-6.0,0.3,10700.0,29199.0,52228.0,2.7289999999999996,,,,,,100.0,,,,,,,,,,,,100.0,,,,,,,,,100.0,,,,100.0,,0.03408139944076538,0.06618991494178772
226,Resin 7b,Rig,Neat,7.1,14.7,,,0.513,0.531,29.5,,,10603.0,94705.0,441385.0,8.932,5814.0,28951.0,97912.0,4.98,16.0,,,,,,,,,,84.0,,,100.0,,,,,,,39.3,,,3.6,57.1,,100.0,,0.034708499908447266,0.031179845333099365
208,Resin 2d,Rig,Neat,5.6,6.3,,,0.8029999999999999,0.853,59.54,,,16715.0,175661.0,834500.0,10.509,8695.0,48777.0,170522.0,5.61,,,,,,,,,,,100.0,,,100.0,,,,,,,39.8,,,1.8,58.4,,100.0,,0.036315299570560455,0.08750498294830322
84,88,Kettle,A150ND,1.23,22.0,10,13,0.41700000000000004,0.429,35.03,,,11841.0,59662.0,230123.0,5.039,,,,,,29.2,,,,,,,,,70.8,,,100.0,,,,,,,,,45.6,2.5,51.9,,100.0,,0.037834346294403076,0.026433169841766357
149,169,Rig,Neat,0.94,7.632689544,,,0.445,0.45899999999999996,,,,,,,,,,,,,,,,,,,,,,84.3,15.7,,100.0,,,,,,,58.8,,41.0,,,,100.0,,0.039537448436021805,0.03391611576080322
53,57,Kettle,A150ND,5.4,4.0,1,3,0.527,0.546,90.3,,,14628.0,66551.0,139460.0,4.55,9308.0,34575.0,67269.0,3.715,,,,,,,,,,,85.2,14.8,,100.0,,,,,,,44.9,,44.6,0.4,10.1,,100.1,,0.04089239612221718,0.07620519399642944
97,101,Kettle ,A150ND,1.5,36.0,36,0,0.26,0.264,60.13,,,8363.0,24229.0,54351.0,2.897,,,,,20.0,,,,,,,,,,,80.0,,100.0,,,,,,,,,,5.8,,94.2,100.0,,0.04639415815472603,0.007185816764831543
252,C20,,,,,,,0.139,,10.0,21.0,2.01,2679.0,9195.0,23516.0,3.432,,,,,,,,,,,,,,100.0,,,,100.0,,,100.0,,,,,,,,,,100.0,,0.047787971794605255,0.08131128549575806
196,243,Rig,Neat,0.9,5.2,,,0.23199999999999998,0.23600000000000002,-42.99,,,13165.0,34544.0,53986.0,2.6239999999999997,,,,,100.0,,,,,,,,,,,,,100.0,,,,,,,,100.0,,,,,100.0,,0.05996356159448624,0.2561367452144623
275,C43,,,,,,,0.65,,42.0,44.0,0.59,15730.0,56961.0,102418.0,3.6210000000000004,,,,,,,,,,,100.0,,,,,,,100.0,,,,,,,,100.0,,,,,100.0,,0.0852825790643692,0.0626022219657898
148,168,Rig,Neat,0.7,9.348218701,,,0.376,0.386,,,,,,,,,,,,,,,,,,,,,,84.6,15.4,,100.0,,,,,,,58.2,,41.7,,,,99.8,,0.08961319923400879,0.04570159316062927
89,93,Kettle,A150ND,0.7,22.0,10,12,0.342,0.35,35.5,,,13145.0,38824.0,81571.0,2.9539999999999997,,,,,,29.1,,,,,,,,,70.9,,,100.0,,,,,,,,,45.8,0.7,53.5,,100.0,,0.08975441008806229,0.09388419985771179
281,C49,,,,,,,0.615,,-24.0,-23.0,1.64,13481.0,68476.0,218556.0,5.079,,,,,,,,,,,,100.0,,,,,,100.0,,,,,100.0,,,,,,,,100.0,,0.09015295654535294,0.045428693294525146
