OH_tg_r2	OH_tg_mae	OH_iv_r2	OH_iv_mae	simp_tg_r2	simp_tg_mae	simp_iv_r2	simp_iv_mae	OHS_tg_r2	OHS_tg_mae	OHS_iv_r2	OHS_iv_mae
0.839602194	9.316019156	0.402482359	0.113112549	0.000159155	27.14700595	0.614983688	0.088754792	0.829339118	9.462514191	0.722772748	0.070037727
0.844999631	9.159279288	0.408803948	0.112513139	-0.06169897	27.79541667	0.616369178	0.088854505	0.849906501	9.03696884	0.695135275	0.071753074
0.841177141	9.288445124	0.472945573	0.106588855	0.023855277	27.3777619	0.640608105	0.089670437	0.833416439	9.132545644	0.721249592	0.07094487
0.820044299	9.320515163	0.419689157	0.111663455	-0.060274809	28.52492857	0.591690245	0.089545202	0.847400357	8.962757079	0.681081305	0.07325624
0.815467304	9.307271962	0.494711098	0.107012156	0.016708918	27.58339286	0.634584295	0.087184718	0.850007701	8.799101552	0.71510775	0.070451431
0.807812355	9.310063751	0.409680293	0.113002175	-0.06641963	28.12853274	0.625560142	0.08893841	0.840129802	9.068526178	0.728673645	0.070377195
0.8271691	9.248105939	0.475183055	0.10467955	-0.008190618	27.5041131	0.644761325	0.085283714	0.840694936	9.048217779	0.689930224	0.073243804
0.814893004	8.971429773	0.446970556	0.105624042	0.013020077	27.03143452	0.676388965	0.085843842	0.857248783	9.063449108	0.7159882	0.071511787
0.841677197	9.17572166	0.391650856	0.112016395	-0.153376647	29.40411607	0.656241087	0.088005298	0.84522368	9.204079204	0.71905265	0.071357015
0.824076319	9.498162964	0.45495291	0.110695395	0.001744606	27.77281548	0.619276443	0.088310207	0.817408292	9.347325508	0.691837069	0.074017865
0.832701973	9.336016843	0.479728719	0.104491577	-0.025496733	27.7505625	0.627254431	0.087580143	0.845727475	8.984965526	0.708087432	0.073740917
0.816835057	9.756616265	0.479741518	0.106055612	0.00453722	27.34856845	0.64957788	0.086050269	0.825416361	8.965210203	0.686006835	0.072868717
