Simple_tg_r2,Simple_tg_mae,Simple_iv_r2,Simple_iv_mae,OH_tg_r2,OH_tg_mae,OH_iv_r2,OH_iv_mae,OH+Mw_tg_r2,OH+Mw_tg_mae,OH+Mw_iv_r2,OH+Mw_iv_mae,CM_tg_r2,CM_tg_mae,CM_iv_r2,CM_iv_mae,BOB_tg_r2,BOB_tg_mae,BOB_iv_r2,BOB_iv_mae,PI (20)_tg_r2,PI (20)_tg_mae,PI (20)_iv_r2,PI (20)_iv_mae,PI (50)_tg_r2,PI (50)_tg_mae,PI (50)_iv_r2,PI (50)_iv_mae,PI (100)_tg_r2,PI (100)_tg_mae,PI (100)_iv_r2,PI (100)_iv_mae,SOAP_tg_r2,SOAP_tg_mae,SOAP_iv_r2,SOAP_iv_mae,MBTR_tg_r2,MBTR_tg_mae,MBTR_iv_r2,MBTR_iv_mae
-1.1232,37.0921,-0.183,0.0932,0.8270000000000001,10.6403,0.2392,0.0799,0.8487,9.8359,-0.1003,0.0817,0.8642,7.6518,0.1346,0.0828,0.8717,7.9316,0.1004,0.0828,0.8626,8.2418,0.2885,0.0749,0.877,8.6663,0.2687,0.0749,0.873,8.6897,0.2441,0.0762,0.8556,7.4848,0.3451,0.0691,0.8861,7.7905,0.3078,0.0723
-0.8737,37.3403,-0.2361,0.0931,0.8357,10.5132,0.2392,0.0793,0.8344,10.1479,-0.0695,0.0844,0.875,8.0633,0.1595,0.0817,0.8865,7.6775,0.0019,0.0867,0.8995,7.35,0.2495,0.0762,0.8805,8.4459,0.2805,0.0761,0.8888,8.1139,0.1644,0.0779,0.8592,7.9376,0.3672,0.07,0.9011,7.4502,0.3062,0.0729
-0.9978,37.4691,-0.3632,0.0955,0.7506,11.5725,0.0853,0.0853,0.8412,10.6067,-0.0878,0.0825,0.8604,7.93,0.1607,0.0816,0.8795,7.3541,0.1453,0.0822,0.8806,7.867000000000001,0.2255,0.0751,0.884,8.0769,0.2497,0.0758,0.8804,8.3941,0.2361,0.0771,0.8587,7.8987,0.3159,0.0723,0.9092,7.525,0.3448,0.0704
-0.9793,37.8002,-0.2773,0.0933,0.8384,10.3929,0.19399999999999998,0.0821,0.8561,10.1237,-0.0097,0.0823,0.8868,7.6186,0.1633,0.08199999999999999,0.8881,7.5729999999999995,0.1069,0.0844,0.9178,7.2298,0.2203,0.0745,0.8861,8.6002,0.2448,0.0768,0.8519,8.5278,0.2416,0.0781,0.8658,8.086,0.2983,0.0706,0.8857,7.763,0.29600000000000004,0.0729
-0.8485,37.4731,-0.2153,0.0924,0.7942,11.2777,0.1927,0.0803,0.8567,9.7586,-0.1098,0.0833,0.8647,7.4225,0.1407,0.0829,0.8854,8.142000000000001,0.1937,0.0815,0.8585,8.1217,0.2556,0.0758,0.9028,8.0399,0.1914,0.0777,0.8756,8.5854,0.1138,0.0792,0.8787,8.1561,0.3163,0.0681,0.9028,7.2139999999999995,0.3096,0.0724
-0.9043,37.0712,-0.2104,0.0933,0.8437,10.3946,0.1878,0.0813,0.8456,9.9274,-0.0435,0.0825,0.8744,7.4452,0.1113,0.0847,0.8768,7.8771,0.1664,0.0828,0.8747,7.7587,0.2627,0.0742,0.8841,7.9049,0.1559,0.0756,0.8625,8.4478,0.2276,0.0757,0.8523,8.0089,0.2719,0.07200000000000001,0.8978,7.5407,0.2604,0.0733
-0.8953,37.1409,-0.3141,0.09300000000000001,0.8173,10.7951,0.2139,0.079,0.8318,9.8687,-0.0665,0.0835,0.8919,7.3686,0.146,0.081,0.8574,7.746,0.128,0.0832,0.8541,7.8025,0.2466,0.0754,0.8488,8.5963,0.2861,0.0744,0.8543,8.4577,0.1571,0.0781,0.8872,7.8726,0.2682,0.0737,0.8801,7.8035,0.3353,0.0715
-1.071,37.146,-0.2699,0.0943,0.8479,10.3873,-0.0033,0.0858,0.8477,10.0266,-0.0207,0.08199999999999999,0.8851,7.6496,0.1541,0.0813,0.8856,7.7863,0.1509,0.0826,0.8775,7.6588,0.2464,0.0741,0.8512,8.9007,0.23399999999999999,0.0755,0.8617,8.5625,0.223,0.0776,0.8229,8.4768,0.3121,0.0696,0.8954,7.5859,0.306,0.0713
-0.9272,37.3246,-0.2325,0.0927,0.8147,10.8128,0.2073,0.0794,0.8392,10.172,-0.0106,0.0825,0.8799,7.428999999999999,0.2003,0.0812,0.8853,7.3638,0.12300000000000001,0.0829,0.8857,7.8753,0.2614,0.0744,0.8998,8.0526,0.2305,0.0773,0.9016,7.9464,0.1551,0.0779,0.8905,7.611000000000001,0.3332,0.0699,0.898,7.2053,0.3459,0.0719
-1.5093,37.6665,-0.2043,0.09300000000000001,0.8326,10.3898,0.1821,0.0812,0.7899,10.8888,-0.1466,0.0826,0.8669,7.6066,0.1766,0.0811,0.8801,7.7892,0.1597,0.0828,0.8784,7.6547,0.1843,0.0772,0.8774,8.7536,0.2596,0.0753,0.8547,9.1793,0.2899,0.0746,0.8565,7.9004,0.2669,0.0713,0.8979,7.5553,0.2388,0.0745
