Simple_tg_r2,Simple_tg_mae,Simple_iv_r2,Simple_iv_mae,OH_tg_r2,OH_tg_mae,OH_iv_r2,OH_iv_mae,OH+Mw_tg_r2,OH+Mw_tg_mae,OH+Mw_iv_r2,OH+Mw_iv_mae,CM_tg_r2,CM_tg_mae,CM_iv_r2,CM_iv_mae,BOB_tg_r2,BOB_tg_mae,BOB_iv_r2,BOB_iv_mae,PI (50)_tg_r2,PI (50)_tg_mae,PI (50)_iv_r2,PI (50)_iv_mae,SOAP_tg_r2,SOAP_tg_mae,SOAP_iv_r2,SOAP_iv_mae,MBTR_tg_r2,MBTR_tg_mae,MBTR_iv_r2,MBTR_iv_mae
-0.4552,37.5200,0.0895,0.1443,0.5761,16.4664,0.4443,0.1166,0.5744,16.4427,0.5640,0.1038,0.8581,9.5575,0.6662,0.0780,0.8614,9.6364,0.5944,0.0857,0.7903,10.5625,0.6895,0.0810,0.8516,9.8647,0.6662,0.0816,0.8644,7.7492,0.7247,0.0796
-0.4885,37.5869,0.0875,0.1439,0.5891,16.4151,0.4314,0.1172,0.5583,16.7580,0.5663,0.1038,0.8705,9.3070,0.6944,0.0766,0.8320,10.3682,0.6816,0.0771,0.8350,10.5607,0.6998,0.0800,0.8411,10.0732,0.6829,0.0774,0.8717,7.6421,0.7039,0.0814
-0.4669,37.5838,0.1344,0.1435,0.5751,16.1242,0.4474,0.1180,0.5827,16.1202,0.5299,0.1040,0.8092,10.4554,0.6680,0.0807,0.8528,9.8056,0.6574,0.0792,0.8375,10.6591,0.6845,0.0801,0.8446,10.0441,0.6811,0.0786,0.8047,8.2025,0.7044,0.0800
-0.4999,37.3774,0.0796,0.1469,0.5832,16.1740,0.4337,0.1173,0.5670,16.7206,0.5484,0.1014,0.7605,10.9100,0.6870,0.0788,0.8317,10.2879,0.6432,0.0817,0.7957,10.7594,0.7033,0.0832,0.8349,10.1266,0.6006,0.0839,0.8868,7.4701,0.7066,0.0798
-0.4787,37.4129,0.1153,0.1438,0.5268,16.7580,0.3865,0.1214,0.5835,16.1441,0.5382,0.1059,0.8615,9.6204,0.7191,0.0764,0.8134,9.4845,0.6585,0.0805,0.8140,10.9327,0.6807,0.0817,0.8431,10.1115,0.6322,0.0846,0.8753,7.8260,0.6804,0.0831
-0.4715,37.4604,0.0994,0.1442,0.5309,16.3701,0.4122,0.1193,0.5730,16.5941,0.5088,0.1071,0.8611,9.2947,0.6704,0.0807,0.8437,10.0679,0.6623,0.0817,0.8403,10.4237,0.7016,0.0796,0.8162,10.2730,0.6765,0.0795,0.8815,7.7576,0.7116,0.0812
-0.5467,37.4891,0.1193,0.1446,0.5536,16.5032,0.4466,0.1169,0.5847,16.2656,0.5413,0.1049,0.8394,10.1819,0.6016,0.0875,0.8618,9.4307,0.6863,0.0771,0.7927,11.3342,0.7099,0.0795,0.8542,9.5424,0.6678,0.0802,0.8644,8.3992,0.7124,0.0807
-0.5848,37.8745,0.1017,0.1446,0.5827,16.2195,0.4193,0.1174,0.5788,16.5355,0.5129,0.1051,0.8470,9.8066,0.6589,0.0794,0.8406,9.7791,0.6162,0.0835,0.8049,10.9368,0.6974,0.0805,0.8340,10.1350,0.7000,0.0751,0.8416,8.3753,0.7063,0.0808
-0.4634,37.4386,0.0992,0.1457,0.5695,16.1290,0.4355,0.1185,0.5581,16.2821,0.5180,0.1060,0.8610,9.8975,0.6565,0.0810,0.8385,9.8970,0.6749,0.0787,0.8220,10.9506,0.7155,0.0787,0.7959,11.1739,0.6642,0.0808,0.8710,7.3444,0.7208,0.0791
-0.5215,37.5130,0.0453,0.1495,0.5705,16.0280,0.4199,0.1194,0.5794,16.3483,0.5402,0.1031,0.8653,9.3869,0.6897,0.0787,0.8345,10.0636,0.6437,0.0823,0.8122,10.8476,0.6991,0.0816,0.8603,9.2996,0.7027,0.0793,0.8800,7.6053,0.7163,0.0804
-0.4899,37.7157,0.0726,0.1447,0.6110,16.2107,0.4361,0.1188,0.5843,16.5533,0.4910,0.1079,0.7951,10.7392,0.6480,0.0826,0.8368,10.1320,0.6574,0.0804,0.8165,10.7805,0.6776,0.0824,0.8022,10.3315,0.6374,0.0816,0.8721,7.9221,0.7072,0.0806
